"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Asda","07/11/2015 05:05","07/11/2015 12:45","7:40","","","","","",""
"Asda","09/11/2015 04:58","09/11/2015 12:02","7:04","","","","","",""
"Asda","10/11/2015 13:09","10/11/2015 20:04","6:55","","","","","",""
"Asda","12/11/2015 04:56","12/11/2015 12:04","7:08","","","","","",""
"Asda","13/11/2015 05:03","13/11/2015 11:45","6:42","","","","","",""
"Asda","14/11/2015 05:06","14/11/2015 14:09","9:03","","","","","",""
"Asda","16/11/2015 05:01","16/11/2015 12:10","7:09","","","","","",""
"Asda","17/11/2015 14:05","17/11/2015 21:48","7:43","","","","","",""
"Asda","19/11/2015 04:58","19/11/2015 12:15","7:17","","","","","",""
"Asda","20/11/2015 04:52","20/11/2015 11:05","6:13","","","","","",""
"Asda","21/11/2015 05:01","21/11/2015 12:46","7:45","","","","","",""
"Asda","23/11/2015 05:02","23/11/2015 12:09","7:07","","","","","",""
"Asda","24/11/2015 14:15","24/11/2015 21:50","7:35","","","","","",""
"Asda","26/11/2015 04:58","26/11/2015 14:51","9:53","","","","","",""
"Asda","27/11/2015 04:56","27/11/2015 12:32","7:36","","","","","",""
"Asda","28/11/2015 04:59","28/11/2015 12:17","7:18","","","","","",""
"Asda","30/11/2015 04:56","30/11/2015 13:55","8:59","","","","","",""
"Asda","01/12/2015 13:03","01/12/2015 21:40","8:37","","","","","",""
"Asda","03/12/2015 04:56","03/12/2015 14:53","9:57","","","","","",""
"Asda","04/12/2015 05:12","04/12/2015 12:30","7:18","","","","","",""
"Asda","05/12/2015 05:25","05/12/2015 12:15","6:50","","","","","",""
"Asda","07/12/2015 04:59","07/12/2015 12:06","7:07","","","","","",""
"Asda","08/12/2015 12:59","08/12/2015 21:31","8:32","","","","","",""
"Asda","10/12/2015 05:03","10/12/2015 12:09","7:06","","","","","",""
"Asda","11/12/2015 05:08","11/12/2015 12:05","6:57","","","","","",""
"Asda","12/12/2015 05:05","12/12/2015 12:35","7:30","","","","","",""
"Asda","14/12/2015 04:57","14/12/2015 12:01","7:04","","","","","",""
"Asda","15/12/2015 12:22","15/12/2015 19:30","7:08","","","","","",""
"Asda","16/12/2015 04:56","16/12/2015 12:00","7:04","","","","","",""
"Asda","19/12/2015 04:50","19/12/2015 12:38","7:48","","","","","",""
"Asda","20/12/2015 16:46","20/12/2015 20:33","3:47","","","","","",""
"Asda","21/12/2015 13:08","21/12/2015 22:00","8:06","","","","0:46 subtracted (paused)","-0:46","0.00"
"Asda","28/12/2015 04:55","28/12/2015 09:51","4:56","","","","","",""
"Asda","29/12/2015 13:15","29/12/2015 20:50","7:02","","","0:33 (15:05 to 15:38)","","-0:33","0.00"
"Asda","31/12/2015 05:01","31/12/2015 12:35","7:34","","","","","",""
"Asda","01/01/2016 09:11","01/01/2016 14:14","5:03","","","","","",""
"Asda","02/01/2016 05:06","02/01/2016 12:00","6:54","","","","","",""
"Asda","04/01/2016 05:00","04/01/2016 12:07","7:07","","","","","",""
"Asda","05/01/2016 13:02","05/01/2016 21:26","8:24","","","","","",""
"Asda","07/01/2016 04:59","07/01/2016 12:03","7:04","","","","","",""
"Asda","08/01/2016 05:03","08/01/2016 10:30","5:27","","","","","",""
"Asda","09/01/2016 05:13","09/01/2016 12:24","7:11","","","","","",""
"Asda","11/01/2016 05:02","11/01/2016 11:00","5:58","","","","","",""
"Asda","12/01/2016 13:14","12/01/2016 21:30","8:16","","","","","",""
"Asda","14/01/2016 05:06","14/01/2016 11:13","6:07","","","","","",""
"Asda","15/01/2016 05:05","15/01/2016 12:05","7:00","","","","","",""
"Asda","16/01/2016 05:10","16/01/2016 12:05","6:55","","","","","",""
"Asda","18/01/2016 05:02","18/01/2016 12:02","7:00","","","","","",""
"Asda","19/01/2016 12:59","19/01/2016 21:31","8:32","","","","","",""
"Asda","21/01/2016 05:02","21/01/2016 14:30","9:28","","","","","",""
"Asda","22/01/2016 05:04","22/01/2016 12:01","6:57","","","","","",""
"Asda","23/01/2016 05:07","23/01/2016 12:47","7:40","","","","","",""
"Asda","25/01/2016 05:00","25/01/2016 12:15","7:15","","","","","",""
"Asda","26/01/2016 12:58","26/01/2016 22:17","9:19","","","","","",""
"Asda","28/01/2016 05:02","28/01/2016 12:13","7:11","","","","","",""
"Asda","29/01/2016 04:59","29/01/2016 12:42","7:43","","","","","",""
"Asda","30/01/2016 04:59","30/01/2016 13:08","8:09","","","","","",""
"Asda","01/02/2016 05:01","01/02/2016 12:13","7:12","","","","","",""
"Asda","02/02/2016 13:05","02/02/2016 21:15","8:10","","","","","",""
"Asda","04/02/2016 04:59","04/02/2016 12:04","7:05","","","","","",""
"Asda","05/02/2016 04:50","05/02/2016 12:01","7:11","","","","","",""
"Asda","05/02/2016 18:40","05/02/2016 20:03","1:23","","","","","",""
"Asda","06/02/2016 04:59","06/02/2016 09:01","4:02","","","","","",""
"Asda","11/02/2016 04:59","11/02/2016 11:10","6:11","","","","","",""
"Asda","12/02/2016 15:58","12/02/2016 20:01","4:03","","","","","",""
"Asda","13/02/2016 05:10","13/02/2016 12:32","7:22","","","","","",""
"Asda","14/02/2016 05:02","14/02/2016 10:36","5:34","","","","","",""
"Asda","15/02/2016 13:20","15/02/2016 21:41","8:21","","","","","",""
"Asda","16/02/2016 13:01","16/02/2016 20:41","7:40","","","","","",""
"Asda","18/02/2016 05:04","18/02/2016 12:01","6:57","","","","","",""
"Asda","19/02/2016 05:09","19/02/2016 12:00","6:51","","","","","",""
"Asda","20/02/2016 05:07","20/02/2016 13:30","8:23","","","","","",""
"Asda","21/02/2016 05:00","21/02/2016 10:43","5:43","","","","","",""
"Asda","23/02/2016 13:05","23/02/2016 21:18","8:13","","","","","",""
"Asda","25/02/2016 05:03","25/02/2016 13:17","8:14","","","","","",""
"Asda","27/02/2016 05:09","27/02/2016 12:23","7:14","","","","","",""
"Asda","03/03/2016 05:10","03/03/2016 12:00","6:50","","","","","",""
"Asda","04/03/2016 05:06","04/03/2016 12:00","6:54","","","","","",""
"Asda","05/03/2016 04:15","05/03/2016 04:31","0:16","","","","","",""
"Asda","06/03/2016 05:05","06/03/2016 12:00","6:55","","","","","",""
"Asda","07/03/2016 05:01","07/03/2016 12:01","7:00","","","","","",""
"Asda","08/03/2016 13:02","08/03/2016 21:30","8:28","","","","","",""
"Asda","10/03/2016 05:03","10/03/2016 11:02","5:59","","","","","",""
"Asda","11/03/2016 05:08","11/03/2016 12:02","6:54","","","","","",""
"Asda","12/03/2016 05:10","12/03/2016 12:50","7:40","","","","","",""
"Asda","13/03/2016 16:14","13/03/2016 20:27","4:13","","","","","",""
"Asda","14/03/2016 06:46","14/03/2016 12:05","5:19","","","","","",""
"Asda","15/03/2016 13:20","15/03/2016 21:49","8:29","","","","","",""
"Asda","17/03/2016 13:24","17/03/2016 13:24","0:00","","","","","",""
"Asda","18/03/2016 05:13","18/03/2016 12:25","7:12","","","","","",""
"Asda","19/03/2016 04:29","19/03/2016 12:37","8:08","","","","","",""
"Asda","21/03/2016 04:59","21/03/2016 10:45","5:46","","","","","",""
"Asda","22/03/2016 09:59","22/03/2016 19:56","9:57","","","","","",""
"Asda","25/03/2016 05:10","25/03/2016 12:19","7:09","","","","","",""
"Asda","26/03/2016 05:09","26/03/2016 11:28","6:19","","","","","",""
"Asda","28/03/2016 05:02","28/03/2016 10:50","5:48","","","","","",""
"Asda","29/03/2016 13:10","29/03/2016 21:25","8:15","","","","","",""
"Asda","31/03/2016 05:10","31/03/2016 13:15","8:05","","","","","",""
"Asda","01/04/2016 05:15","01/04/2016 11:20","6:05","","","","","",""
"Asda","02/04/2016 05:03","02/04/2016 13:45","8:42","","","","","",""
"Asda","04/04/2016 05:10","04/04/2016 12:24","7:14","","","","","",""
"Asda","05/04/2016 13:55","05/04/2016 21:01","7:06","","","","","",""
"Asda","07/04/2016 05:00","07/04/2016 12:48","7:48","","","","","",""
"Asda","08/04/2016 05:05","08/04/2016 12:37","7:32","","","","","",""
"Asda","09/04/2016 05:04","09/04/2016 12:30","7:26","","","","","",""
"Asda","11/04/2016 05:00","11/04/2016 12:00","7:00","","","","","",""
"Asda","19/04/2016 14:16","19/04/2016 21:52","7:36","","","","","",""
"Asda","21/04/2016 05:04","21/04/2016 13:00","7:56","","","","","",""
"Asda","22/04/2016 05:07","22/04/2016 12:18","7:11","","","","","",""
"Asda","23/04/2016 05:02","23/04/2016 11:07","6:05","","","","","",""
"Asda","24/04/2016 05:01","24/04/2016 10:35","5:34","","","","","",""
"Asda","26/04/2016 13:07","26/04/2016 21:26","8:19","","","","","",""
"Asda","28/04/2016 05:11","28/04/2016 13:27","8:16","","","","","",""
"Asda","29/04/2016 04:57","29/04/2016 12:02","7:05","","","","","",""
"Asda","30/04/2016 04:50","30/04/2016 12:44","7:54","","","","","",""
"Asda","02/05/2016 05:01","02/05/2016 12:14","7:13","","","","","",""
"Asda","03/05/2016 09:00","03/05/2016 21:15","12:15","","","","","",""
"Asda","05/05/2016 04:59","05/05/2016 15:00","10:01","","","","","",""
"Asda","06/05/2016 05:04","06/05/2016 12:20","7:16","","","","","",""
"Asda","07/05/2016 05:12","07/05/2016 12:18","7:06","","","","","",""
"Asda","09/05/2016 05:01","09/05/2016 16:31","11:30","","","","","",""
"Asda","11/05/2016 04:50","11/05/2016 12:32","7:42","","","","","",""
"Asda","12/05/2016 04:46","12/05/2016 11:37","6:51","","","","","",""
"Asda","13/05/2016 04:55","13/05/2016 12:00","7:05","","","","","",""
"Asda","14/05/2016 05:05","14/05/2016 11:57","6:52","","","","","",""
"Asda","16/05/2016 04:46","16/05/2016 12:12","7:26","","","","","",""
"Asda","17/05/2016 13:10","17/05/2016 21:15","8:05","","","","","",""
"Asda","19/05/2016 05:03","19/05/2016 12:02","6:59","","","","","",""
"Asda","20/05/2016 05:10","20/05/2016 12:04","6:54","","","","","",""
"Asda","21/05/2016 05:05","21/05/2016 12:03","6:58","","","","","",""
"Asda","02/06/2016 04:59","02/06/2016 12:02","7:03","","","","","",""
"Asda","03/06/2016 04:50","03/06/2016 12:17","7:27","","","","","",""
"Asda","04/06/2016 05:07","04/06/2016 12:08","7:01","","","","","",""
"Asda","05/06/2016 05:01","05/06/2016 10:26","5:25","","","","","",""
"Asda","06/06/2016 13:05","06/06/2016 21:40","8:35","","","","","",""
"Asda","07/06/2016 13:08","07/06/2016 22:22","9:14","","","","","",""
"Asda","09/06/2016 05:00","09/06/2016 11:13","6:13","","","","","",""
"Asda","10/06/2016 04:58","10/06/2016 12:05","7:07","","","","","",""
"Asda","11/06/2016 05:10","11/06/2016 12:04","6:54","","","","","",""
"Asda","13/06/2016 04:59","13/06/2016 12:02","7:03","","","","","",""
"Asda","14/06/2016 13:18","14/06/2016 21:41","8:23","","","","","",""
"Asda","16/06/2016 04:59","16/06/2016 12:12","7:13","","","","","",""
"Asda","17/06/2016 05:07","17/06/2016 12:13","7:06","","","","","",""
"Asda","18/06/2016 05:13","18/06/2016 13:45","8:32","","","","","",""
"Asda","20/06/2016 05:00","20/06/2016 12:06","7:06","","","","","",""
"Asda","21/06/2016 13:11","21/06/2016 21:15","8:04","","","","","",""
"Asda","23/06/2016 05:15","23/06/2016 12:21","7:06","","","","","",""
"Asda","24/06/2016 05:08","24/06/2016 12:01","6:53","","","","","",""
"Asda","25/06/2016 05:05","25/06/2016 12:23","7:18","","","","","",""
"Asda","27/06/2016 05:03","27/06/2016 12:07","7:04","","","","","",""
"Asda","28/06/2016 13:00","28/06/2016 22:00","9:00","","","","","",""
"Asda","30/06/2016 05:03","30/06/2016 12:04","7:01","","","","","",""
"Asda","01/07/2016 05:06","01/07/2016 12:04","6:58","","","","","",""
"Asda","02/07/2016 05:06","02/07/2016 12:09","7:03","","","","","",""
"Asda","04/07/2016 04:58","04/07/2016 12:03","7:05","","","","","",""
"Asda","05/07/2016 12:53","05/07/2016 21:39","8:46","","","","","",""
"Asda","07/07/2016 04:59","07/07/2016 14:12","9:13","","","","","",""
"Asda","08/07/2016 05:04","08/07/2016 12:01","6:57","","","","","",""
"Asda","09/07/2016 04:56","09/07/2016 13:29","8:33","","","","","",""
"Asda","10/07/2016 10:37","10/07/2016 21:12","9:00","","","1:35 (15:23 to 16:58)","","-1:35","0.00"
"Asda","11/07/2016 04:57","11/07/2016 12:03","7:06","","","","","",""
"Asda","12/07/2016 13:10","12/07/2016 22:22","9:12","","","","","",""
"Asda","14/07/2016 05:20","14/07/2016 13:15","7:55","","","","","",""
"Asda","15/07/2016 05:01","15/07/2016 11:07","6:06","","","","","",""
"Asda","16/07/2016 05:09","16/07/2016 12:08","6:59","","","","","",""
"Asda","18/07/2016 05:03","18/07/2016 12:03","7:00","","","","","",""
"Asda","19/07/2016 08:05","19/07/2016 17:04","8:59","","","","","",""
"Asda","21/07/2016 05:00","21/07/2016 13:00","8:00","","","","","",""
"Asda","23/07/2016 05:01","25/07/2016 12:00","54:59","","","","","",""
"Asda","25/07/2016 05:00","25/07/2016 12:00","7:00","","","","","",""
"Asda","26/07/2016 13:00","26/07/2016 21:38","8:38","","","","","",""
"Asda","28/07/2016 05:04","28/07/2016 14:25","9:21","","","","","",""
"Asda","29/07/2016 05:14","29/07/2016 12:55","7:41","","","","","",""
"Asda","30/07/2016 05:03","30/07/2016 12:17","7:14","","","","","",""
"Asda","01/08/2016 05:01","01/08/2016 12:02","7:01","","","","","",""
"Asda","02/08/2016 13:10","02/08/2016 21:20","8:10","","","","","",""
"Asda","04/08/2016 05:03","04/08/2016 14:30","9:27","","","","","",""
"Asda","05/08/2016 05:03","05/08/2016 12:00","6:57","","","","","",""
"Asda","06/08/2016 05:11","06/08/2016 12:00","6:49","","","","","",""
"Asda","08/08/2016 05:20","08/08/2016 12:13","6:53","","","","","",""
"Asda","09/08/2016 13:09","09/08/2016 21:21","8:12","","","","","",""
"Asda","11/08/2016 05:06","11/08/2016 12:48","7:42","","","","","",""
"Asda","12/08/2016 05:04","12/08/2016 12:03","6:59","","","","","",""
"Asda","13/08/2016 05:10","13/08/2016 12:23","7:13","","","","","",""
"Asda","14/08/2016 05:04","14/08/2016 10:26","5:22","","","","","",""
"Asda","15/08/2016 05:08","15/08/2016 12:20","7:12","","","","","",""
"Asda","16/08/2016 13:11","16/08/2016 20:49","7:38","","","","","",""
"Asda","18/08/2016 05:07","18/08/2016 12:00","6:53","","","","","",""
"Asda","19/08/2016 19:02","19/08/2016 21:23","2:21","","","","","",""
"Asda","20/08/2016 04:58","20/08/2016 11:53","6:55","","","","","",""
"Asda","24/08/2016 07:55","24/08/2016 11:15","3:20","","","","","",""
"Asda","06/09/2016 13:00","06/09/2016 21:48","8:48","","","","","",""
"Asda","08/09/2016 04:58","08/09/2016 13:03","8:05","","","","","",""
"Asda","10/09/2016 05:18","10/09/2016 10:54","5:36","","","","","",""
"Asda","12/09/2016 05:04","12/09/2016 12:01","6:57","","","","","",""
"Asda","13/09/2016 12:58","13/09/2016 21:05","8:07","","","","","",""
"Asda","15/09/2016 05:03","15/09/2016 12:05","7:02","","","","","",""
